云属名称,变体名称（云种/变种/附属特征）,拉丁文名称及缩写,云族分类,典型高度范围,外观形态特征,物理组成与降水,气象示意或文化象征,大尺度数学建模（宏观分布）,中尺度数学建模（基础形态）,细节尺度与着色（微观侵蚀与光照）
卷云,钩卷云、密卷云、毛卷云、堡状卷云、絮状卷云,"Cirrus (Ci)云种: unc, spi, fib, cas, flo",高云族,$5 \sim 18\text{ km}$,丝条状、羽毛状、马尾状或钩状，带有柔滑淡光，厚度薄且透光1。,完全由冰晶组成；通常无降水，偶有未落地的幡状云1。,预示天气变化；民间有“天上钩钩云，地下雨淋淋”之说1。,"函数：2D 高空覆盖遮罩 (Coverage Mask)1, 2 参数：• Altitude: $5-18\text{km}$ 极高空限制• Coverage: 极低（如 $<0.2$）• Thickness: 极薄1","函数：各向异性 (Anisotropic) 柏林噪声 (Perlin Noise)1, 2参数：• Stretch Vector: 强风场拉伸向量• Frequency: 低频率，表现长丝状1, 2","函数：卷曲噪声 (Curl Noise) 形变、Beer定律高透射模型1, 2参数：• Curl Displacement: 大位移（针对钩卷云）• Absorption (σa): 极低• Phase g: 接近 $1.0$ (强前向散射)1-3"
卷积云,荚状、堡状、絮状、成层状,"Cirrocumulus (Cc)云种: len, cas, flo, str",高云族,$5 \sim 18\text{ km}$,细小鳞片状、颗粒状或涟漪状，成行排列，白且无阴影，视宽度小于1°1。,几乎全由冰晶组成；无降水1。,俗称“鱼鳞天”，反映高空大气层不稳定1。,"函数：带状高层 Height Gradient1, 2参数：• Coverage: 中低分布 ($0.3-0.5$)• Altitude Limits: 严格的高空包围盒1","函数：大范围 2D/3D 沃利噪声 (Worley/Voronoi Noise)1, 2参数：• Cell Size: 极小（生成细碎球块）• Frequency: 极高频1, 2","函数：微弱 Worley 侵蚀 (Erosion)、Henyey-Greenstein相函数1, 2, 4参数：• Erosion Weight: 极低（保留颗粒感）• Scattering (σs): 适中，高反射率1, 4"
卷层云,毛卷层云、匀卷层云（薄幕状）,"Cirrostratus (Cs)云种: fib, neb",高云族,$5 \sim 18\text{ km}$,透明乳白色或平滑的薄幕，遮盖全天，能产生光晕1。,由冰晶组成；不产生直接地面降水1。,常伴随日晕或月晕，是风暴或系统性降水来临的前兆1。,"函数：均匀 Coverage Map 与极薄 Bounding Box1, 2参数：• Coverage: 接近 $1.0$• Thickness: 极低厚度限制1","函数：低频 Perlin 噪声基础场1, 2参数：• Amplitude: 极低（消除明显起伏）• Frequency: 极低频1, 2","函数：单次散射积分与晕圈叠加 (Halo Shader)1-3参数：• Erosion: 无• Absorption (σa): 趋近于 $0$• Refraction Angle: 折射参数模拟晕轮1, 3"
高积云,荚状、堡状、絮状、成层状、滚轴状,"Altocumulus (Ac)云种: len, cas, flo, str, vol",中云族,$2 \sim 8\text{ km}$,白色或灰色云块，圆盘、瓦片状，通常有底部阴影。大小在1°~3°之间1。,主要为水滴，极寒时含冰晶；偶有微量降水1。,象征中层大气波动。堡状高积云常预示雷雨；荚状云常被误认为UFO1。,"函数：中层高度的连续性 Coverage Map1, 2参数：• Coverage: 中等 ($0.4-0.7$)• Altitude: $2-8\text{km}$ 包围盒1","函数：Perlin-Worley 混合噪声（基础斑块）；正弦波 (Sine Wave) 与地形高度图融合（针对荚状云）1, 2参数：• Noise Blend Factor: Perlin主导• Sine Wave Frequency: 适配地形起伏1, 2","函数：$32^3$ 高频 Worley 噪声边缘碎裂1, 2参数：• Erosion Factor: 中等（产生絮状结构）• Octaves: 高（丰富边缘细节）1, 2"
高层云,（无细分云种，因结构均匀）,Altostratus (As),中云族,$2 \sim 8\text{ km}$,灰色或蓝灰色均匀云幕，太阳透过如隔磨砂玻璃，不投射阴影1。,水汽与冰晶混合；能产生连续性降雨或降雪1。,连续降水前兆，使天空单调沉闷1。,"函数：广域无缝 Density Mask1, 2参数：• Coverage: 接近 $1.0$• Height Gradient: 中等厚度，边界平缓1","函数：强水平拉伸的低频 3D 噪声1, 2参数：• Scale_X / Scale_Z: 大于垂直方向• Amplitude: 低1, 2","函数：Beer定律体积吸收模糊1, 4参数：• Absorption (σa): 偏高• Scattering (σs): 极强（导致光线打散，无明显阴影）1, 4"
雨层云,（无细分云种）,Nimbostratus (Ns),中/低云族,$0 \sim 7\text{ km}$,暗灰色深厚云层，完全遮挡阳光，底边常伴有碎云（碎层云/碎积云）1。,水滴与冰晶混合；产生广泛、持久且连续的降水1。,阴雨连绵的象征；“愁云密布”1。,"函数：天气图 (Weather Map) 降水系统映射1, 2参数：• Precipitation: 接近 $1.0$• Coverage: $1.0$• Height: 跨越低中层1, 2","函数：高密度、厚重的低频 Perlin 噪声1, 2参数：• Density Multiplier: 大（填充缝隙）• Frequency: 极低1, 2","函数：分形布朗运动 (fBm) 扰动、Beer定律深层衰减1, 4参数：• fBm Amplitude: 底部伴生碎云生成• Absorption (σa): 极高（呈现暗黑色云底）1, 4"
层积云,荚状、堡状、絮状、成层状、滚轴状,"Stratocumulus (Sc)云种: len, cas, flo, str, vol",低云族,$0 \sim 4\text{ km}$,灰白大片云，呈卷状或团块，边缘圆润，排列整齐，视宽度5°~10°1。,主要为水滴；可能产生微雨或小雪1。,大气稳定的常见云，常形成广阔的地平线云海1。,"函数：广阔区域 Coverage 图映射1, 2参数：• Coverage: $0.6-0.9$• Height Gradient: 低空，上下边界平缓1","函数：$128^3$ 3D Perlin-Worley 噪声构建网格1, 2参数：• Worley Coverage Remap: 提取连绵且带缝隙的块状• Scale: 大范围块状缩放1, 2","函数：极低权重 3D Worley 侵蚀1, 2参数：• Erosion Weight: 极低（保留云块圆润胖大形态）• Curl Noise: 极小1, 2"
层云,薄幕层云、碎层云,"Stratus (St)云种: neb, fra",低云族,$0 \sim 2\text{ km}$,灰白色平坦低层云，无明显结构，有时呈破碎状。接触地面即为雾1。,细小水滴；常伴随毛毛雨1。,雾霾天气的近亲，能见度低，令人压抑1。,"函数：贴地的高度梯度限制函数1, 2参数：• Base Height: $\approx 0$• Coverage: $\approx 1.0$• Thickness: 极薄1","函数：纯低幅 Perlin 噪声密度场1, 2参数：• Amplitude: 极低• 无 Worley 膨胀计算1, 2","函数：fBm (分形布朗运动) 密度挖空1, 4参数：• fBm Threshold: 高频挖空用于生成不规则“碎层云”(fra)• Density: 整体稀薄1, 4"
积云,淡积云、中积云、浓积云、碎积云,"Cumulus (Cu)云种: hum, med, con, fra",直展云族,$0.5 \sim 4\text{ km}$,孤立、浓密且轮廓清晰，底部平坦偏暗，顶部像花椰菜般向上隆起，受光面亮白1。,水滴组成；淡积云无降水，浓积云可产生短时阵雨1。,晴天好天气的标志。也是CG体积渲染最核心的表现对象（粉末银边效果）1。,"函数：Weather Map 散布，底平中隆的 Height Gradient1, 2参数：• Coverage: 离散分布 ($0.2-0.5$)• Gradient Remap: 钟形曲线1, 2","函数：$128^3$ 3D Perlin-Worley 噪声基础膨胀 (Billow)1, 2参数：• Density Threshold: 塑造坚实主体• Scale: 控制单朵云大小1, 2","函数：$32^3$ 高频 Worley 侵蚀、Curl Noise 扭曲、Beer-Powder光照近似1, 2, 4参数：• Erosion Weight: 极高（塑造花椰菜突起）• Powder Factor: 凸显向光面“银边”• Phase g: 非对称散射偏心率1, 2, 4"
积雨云,秃积雨云、鬃积雨云（包含砧状云、乳状云等）,"Cumulonimbus (Cb)云种: cal, cap特征: inc, mam等",直展云族,$0.5 \sim 18\text{ km}$,巨大的暗黑色云塔，垂直发展极高，顶部扩散呈平滑纤维状或砧状（云砧）1。,底部水滴、顶部冰晶；伴随暴风雨、雷电、冰雹甚至龙卷风1。,极度不稳定的强对流象征，“黑暗武士”与极端气象1。,"函数：顶部截断扩散的 Height Gradient 与极大 Precipitation 信号1, 2参数：• Precipitation: $1.0$• Height: $0.5-18\text{km}$• Anvil Mask: 顶部向外延展1, 2","函数：大尺度 Worley 叠加垂直流动 UV1, 2参数：• Flow Speed_Y: 极强的垂直上升速率• Noise Amplitude: 极大，形成巨大云塔1, 2","函数：半球形位移 (Spherical Displacement) 模拟乳状云、多重光照步进积分1, 2, 4参数：• Curl Strength: 高频湍流扰动最大• Absorption (σa): 拉到极高（生成暗沉底色）1, 2, 4"
